"item_no","brief_description"
"4760","ROUND GRIPPER (TAPPED)"
"4761","SPRING PLUNGER 5/16-18"
"4762","REST BUTTON"
"4763","CONTACT BOLT"
"4764","FLANGE NUT"
"4765","SCREW REST BUTTON"
"4766","SPRING PLUNGER 1/4-20"
"4767","JAM NUT"
"4768","SPRING PLUNGER 1/4-20"
"4769","Cartridge"
"4771","Cartridge JOHN DEERE"
"4772","ROUND GRIPPER 1/2-13X2"""
"4773","ROUND GRIPPER 1/2-13X3"""
"4774","ROUND GRIPPER 3/8-24 X 2"""
"4775","SCREW REST BUTTON"
"4776","SCREW REST BUTTON 1/4-28"
"4777","COLLET NUT"
"4779","NPA075 COLLET NUT"
"4780","COLLET NUT"
"4781","ROUND GRIPPER (TAPPED)"
"4782","ROUND LOCATING PIN"
"4783","SQUARE GRIPPER (CARBIDE)"
"4784","ANGLED GRIPPER TAPPED HOLE #10-32"
"479","YBB1280R01 IN2005"
"4792","KLS-10"
"480","EDP #03863"
"4802","STAINLESS STEEL BALL PLUNGER 8-32"
"4803","JIG REST BUTTONS"
"4805","ROUND GRIPPER"
"4806","SL-8 SAME NUMBER"
"4807","REST BUTTON"
"4808","LOCK PIN"
"4810","IVSN-324"
"4811","XNS-58"
"4812","DIAMOND LOCATING PIN .4834"
"4813","GRIPPER SWIVAL CONTACT BOLT"
"4814","REST BUTTON"
"4815","REST BUTTON"
"4816","ROUND GRIPPER"
"4817","SWIVEL PAD"
"482","EDP #16896"
"4828","COFA TOOL 13.5-15.0"
"4839","COFA 12 ROLL PINS"
"4841","Deburring Tool"
"485","EDP #03836"
"4855","WORK SUPPORT SAE MANIFOLD"
"4856","WORK SUPPORT  MANIFOLD"
"4857","WORK SUPPORT FOR BABY BRACKET"
"4858","WORK SUPPORT CARTRIDGE FOR 10-0808-07"
"4859","WORK SUPPORT CARTRIDGE"
"4860","WORK SUPPORT SAE MANIFOLD"
"4861","WORK SUPPORT CARTRIDGE"
"4862","SINGLE ACTING SWING CLAMP"
"4863","SINGLE ACTING SWING CLAMP"
"4864","SINGLE ACTING SWING CLAMP"
"4865","SINGLE ACTING SWING CLAMP"
"4866","SINGLE ACTING SWING CLAMP"
"4867","SINGLE ACTING SWING CLAMP"
"4868","SINGLE ACTING SWING CLAMP"
"4869","DOUBLE ACTING SWING CLAMP"
"4871","SINGLE ACTING SWING CLAMP"
"4872","SINGLE ACTING SWING CLAMP"
"4873","SINGLE ACTING SWING CLAMP"
"4874","DOUBLE ACTING SWING CLAMP"
"4875","SINGLE ACTING SWING CLAMP"
"4884","SPECIAL BRAZED CARBIDE FORM TOOL"
"4890","SINGLE POINT GRIPPER YAMAHA KNUCKLE"
"4894","SINGLE ACTING SWING CLAMP"
"4895","SINGLE ACTING  HOLLOW RODTHREADED CYLINDER"
"4896","SINGLE ACTING THREADED CYLINDER"
"4897","DOUBLE ACTING  HOLLOW ROD CYLINDER"
"4898","DOUBLE ACTING MANIFOLD MOUNT EDGE CLAMP"
"490","EDP #05999"
"4900","SINGLE ACTING BLOCK CYLINDER"
"4901","SINGLE ACTING BLOCK CYLINDER"
"4904","SINGLE ACTING BLOCK CYLINDER"
"4907","CARTRIDGE MOUNT MINI-CYLINDER"
"4908","CARTRIDGE MOUNT MINI-CYLINDER"
"4909","CARTRIDGE MOUNT MINI-CYLINDER"
"4910","CARTRIDGE MOUNT MINI-CYLINDER"
"4913","DOUBLE ACTING SWING CLAMP"
"4915","SINGLE  ACTING BLOCK CYLINDER"
"4923","1/8"" Pipe SS tap adapter"
"4924","SEQUENCE VALVE"
"4929","EXTERNAL ACCUMULATOR"
"4930","EXTERNAL ACCUMULATOR"
"4931","204 90 DUROMETER O-RING"
"4932","SINGLE ACTING SWING CLAMP METRIC M28X1.5"
"4933","CLAMP ARM"
"4934","CLAMP ARM"
"4938","DIAMOND PIN WAYNE TUBE"
"4939","SPRING WAYNE TUBE"
"4954","M6 X 1 TAP DRILL / CHAMFER"
"4962","COFA 12 RETAINER BLOCK"
"4963","COFA 12 ROLL PIN"
"4968","COFA  SCREW"
"4971","EZBURR E-Z BURR FLEX ARM"
"4981","INSERT SCREW"
"4982","10-32 X 5/8 SHCS"
"4985","INSERT SCREW"
"4987","CLAMP SCREW FOR FIX PERFECT MILL"
"4989","COMBINATION SCREW"
"500","REPLACES T150M"
"5002","Insert Screw"
"5009","RMC CK9"
"5010","RMC CK-23"
"5011","CM72"
"5012","GRIPPER CONTACT BOLT"
"5013","GRIPPER CONTACT BOLT"
"5014","SPRING LOCATING PIN"
"5016","INSERT SCREW"
"5021","CM73"
"5026","CKM34"
"5028","INSERT SCREW EDP 16711"
"5031","CKC3"
"5035","PORT"
"5037","RMC CK43"
"5038","RMC CK-12"
"5043","CLAMPING SET"
"5044","CLAMPING SET"
"5079","LOCK PIN"
"5093","LOCK PIN"
"510","REPLACES KC9325"
"5101","Copeland 3D Finish Combo Bore"
"5103","MOTOR MOUNT CLAMP ARM"
"5114","MS-1282"
"5117","HOLDER"
"5118","A4G250I06P2T0425 KY3500"
"5121","2500452 GROOVE BAR"
"5122","CLAMP SCREW  - SR M6 X 25"
"5125","70.91.15.005.0"
"5126","70.91.23.435.0"
"5127","COLLET CHUCK EXTENSION"
"5128","100TG140M"
"5129","INSERT SCREW"
"5130","2"" SPOT FACE TOOL"
"5132","114 BUNA 70"
"5135","KUAM-32"
"5136","IVSN-322"
"5137","IDSN-433"
"514","CNMG432FNKC9125"
"5140","4.0MM DIA DRILL"
"5142","100TGC060M"
"5143","STC-4"
"5148","PRESSURE GAGE 6K"
"5149","FILTER FOR HYTEC PUMP"
"5151","ICSN-432"
"5152","ISSN-433"
"5162","RMC ICSN 332"
"5181","CLAMP SCREW"
"5187","FF-251-4FP"
"5188","FF-252-4MP"
"5189","208 BUNA 70"
"5190","202 90 DUROMETER O-RING"
"5193","SHIM"
"520","CNMG432FW KCP10B"
"5203","SANDVIK SHIM"
"5206","Insert Screw"
"5207","SSA3T"
"5208","206 BUNA 70"
"5226","SCREW"
"5235","SCREW"
"5238","SCREW"
"5239","5322 110-06"
"5240","Insert Screw"
"5242","SCREW"
"5244","5322 266-01"
"5245","217 90 DUROMETER O-RING"
"5249","LEAKTESTER"
"5252","LEAKTESTER"
"5253","LEAKTESTER"
"5254","LEAKTESTER"
"5255","LEAKTESTER"
"5256","LEAKTESTER"
"5257","LEAKTESTER"
"5258","LEAKTESTER"
"5259","LEAKTESTER"
"5260","LEAKTESTER"
"5261","LEAKTESTER"
"5262","LEAKTESTER"
"5263","LEAKTESTER"
"5264","LEAKTESTER"
"5265","103 90 DUROMETER O-RING"
"5266","109 90 DUROMETER O-RING"
"5267","149 O RING"
"5268","LEAKTESTER"
"5269","LEAKTESTER BULLET N0SE SEAL 60 DURO"
"5270","LEAKTESTER"
"5271","LEAKTESTER"
"5272","LEAKTESTER"
"5273","201  O-RING"
"5275","ALLIED 1.2340""  GEN 2 BLADE"
"5288","HIGH POLISH ALUMINUM GRADE INSERTS"
"5293","RADIUS CONTACT BOLT"
"5304","Kennametal Incorporated HONING STONES"
"5305","RMC KL 46L"
"5306","BORING BAR FOR FACE GROOVING"
"5307","INSERT"
"5308","THREADING INSERT"
"531","SHLG23-01 J05"
"5319","CV40BEM100400"
"5321","GH-Q-M-003754"
"5322","GH-Q-M-003745"
"5323","SPECIAL ALLIED SPADE BLADE"
"5324","Insert screws"
"5328","A20UNSL3"
"5331","CERAMIC INSERT"
"5336","BT30ER20060M"
"5340","00208736 MSC#"
"5341","PROPEN SENSOR"
"5342","PROPEN FILTER/REGULATOR"
"5343","PROPEN SOLENOID"
"5346","DISC MILL INSERTS"
"5347","Insert Screw"
"5393","SPHERICAL RADIUS LOCATOR BUTTON"
"5395","STSCR 10CA-11"
"5396","SCHUNK JAWS"
"5397","SCHUNK JAWS"
"5398","SCHUNK HOLDER   25MM"
"5401","Cat 40"
"5408","EDP #69614  INSERTS  REPLACES TX2000"
"5414","EDP #96740"
"5438","SEFAS HOLDER"
"5457","2130.13220.13"
"5473","HOLDER"
"5475","31.8MM EM HOLDER"
"5478","CV40BSMC100400"
"5480","HOLDER"
"5491","SS125SA125075"
"5492","HOLDER"
"5495","4"" DISC MILL"
"5509","C50-12EM6"
"551","EDP #36559  INSERT"
"5514","06  CIVIC"
"5526","10MM DIA X 81"
"553","EDP #68150"
"5531","12mm 6 in Length CAT50"
"5542","FACE MILL"
"5556","EDP#61111 CK-1/2-45 1/2"" Chamfer tool"
"557","REPLACES  KC9125"
"5577","80A08RP90SP12C2WUFP"
"5592","Holder"
"562","TCMT1.8(1.5)1-KF H13A"
"5627","CARTRIDGE"
"5661","SEFAS HOLDER"
"5676","1.375 DIA"
"5693","TOOL BODY"
"57","EDP #31358"
"5715","Core Drill"
"5719","R417.19-01.62-3"
"572","EDP #31623   REPLACES T150M"
"575","EDP #09918"
"5756","EDP# 57597"
"5773","Roller Burnisher"
"5774","Replacement Rollers"
"580","EDP #59664 CROWN  LOK 16.80mm"
"5825","5/8 CARBIDE END MILL (CRHEC625S4R60)"
"5828","CAT50-SK25-165U"
"5829","LSK 25 COLLET WRENCH"
"5830","SK 25 COOLANT DISK WRENCH"
"5831","SPADE BLADE DRILL BODY"
"5832","RIGHT HAND CUTTING HALF SIDE MILL 4"" DIAMETER"
"5833","LEFT HAND CUTTING HALF SIDE MILL 4"" DIAMETER"
"5834","ARBOR SPACER 1.25"" ID X .25"" LENGTH"
"5835","CARBIDE TIPPED GRIPPER"
"5836","FOR PALLET VAVES"
"5839","CENTER LAP"
"5840","1/2 X 1/2 X 4"" POLISHING SHARPENING STONE"
"5841","4"" ROUND"
"5847","GUNITE"
"5854","D-111289  REV A"
"586","WCMX-08-04-12-R-53 3040"
"5871","8.2  DRILL"
"5873","1.284 EXPANDABLE REAMER"
"5883","CPMT2151LFKC9315"
"5895","CABINET B20"
"5925","CABINET B20"
"5970","CABINET B20 - replaced KC9315"
"598","BORE RANGE 1.653""-2.086"" LOC 3.94"""
"602","18MM DIA 101.6 PROJECTION CAT 50"
"608","31.75 DIA 158.75 PROJECTION CAT 40"
"611","BORE RANGE 78-98MM 94MM PROJECTION"
"6143","COFA TOOL 17.0-18.5"
"6145","5"" DECA FACE MILL"
"6146","10.5 MM DRILL"
"6154","ROUGH BORE TOOL"
"6155","ROUGH BORE TOOL"
"6156","SINGLE ACTING SWING CLAMP"
"6167","SPERICAL REST BUTTON"
"6184","4"" DISC MILL   EDP 81998"
"6205","3"" SQUARE SHOULDER FACE MILL"
"6208","INSERT"
"621","SEFAS HOLDER"
"6212","OSG SPECIAL M11 TAP"
"6213","REST BUTTON"
"6214","REST BUTTON"
"6215","REST BUTTON"
"6217","INSERTS"
"6218","INSERT SCREW"
"622","EXTENSION"
"6221","FINISHING INSERT"
"6223","1/2"" TO 6MM HYDRUALIC SLEEVE"
"6227","7.0 MM DRILL   EDP 17933"
"6229","7.9MM DIA."
"623","EXTENSION"
"6236","9/32 Collet"
"6244","50TGST110090M"
"6249","1"" Hyd. Chuck"
"6251","M6 TAP COLLET"
"6262","Tool Body"
"6265","1.25"" Hydraulic chuck"
"6270","#2.5 T-A DRILL BODY 1-3/16 TO 1-3/8"
"6274","ROCK RIVER"
"6276","YG-1 10.0 MM DRILLS"
"6278","YG-1 6.0MM DRILLS"
"6280","206 MM PLUNGE MILL   EDP# 32469"
"6283","INDEXABLE DRILL FOR SPIDERS 1.342 DIA"
"6286","1"" END MILL WITH FIREX COATING"
"6287","CAT 40 BORING BAR"
"629","KOMET"
"6292","YG-1 8.8MM DRILLS"
"6296","WEDGE SCREW"
"630","INGERSOLL"
"6303","M8 TAP COLLET"
"6305","20 MM TO 12 MM"
"6318","EDP#15953"
"6326","M20 TAP DRILL/18MM DIA 23 MM C'BORE 37MM LOC"
"6328","INSERTS"
"6332","SANDVIK INSERT"
"6333","SANDVIK INSERT"
"634","19.05 DIA 101.6 PROJECTION  CAT 40"
"6340","SCMT431LF KC5010"
"6343","1"" END MILL HOLDER 3.75"" PROJECTION"
"6348","INSERTS    REPLACED KC9125"
"6349","DFT06T308MD KC7140"
"635","TG100 76.2MM PROJECTION CAT 40"
"6355","Inserts"
"636","TG50 76.2MM PROJECTION CAT40"
"637","TG75 152.4MM PROJECTION CAT 50"
"6371","A08RSCLPR2"
"6372","A06SCLPR2"
"6381","BORING BAR"
"6382","MCKNR 164C"
"6383","TOOLHOLDER"
"6392","Boring Head"
"6394","17.5 MM CROWN LOK"
"6403","SPARE PARTS KIT FOR STEINER BACK SPOT FACER TOOL"
"6405","O-RING FOR STEINER BACK SPOTFACER"
"6406","O-RING FOR STEINER BACK SPOTFACER"
"6407","LOCK SCREW FOR STEINER BACK SPOTFACER"
"6408","ACTIVATING ROD FOR STEINER BACK SPOTFACER"
"6409","CUTTER BODY FOR STEINER BACK SPOTFACER"
"6410","PIVOT PIN FOR STEINER BACK SPOTFACER"
"6412","ROTARY PILOT FOR STEINER BACK SPOTFACER"
"6431","438.3-841-1"
"6433","ICSN-533"
"6434","RMC"
"6435","5/8"" endmill holder"
"644","31.5-42.5MM BORE RANGE 116MM PROJECTION"
"6440","MSC Industrial Supply # 64922164"
"6444","M20 X 2.5 6H BOTTOMING TAP COOLANT THROUGH"
"6446","Stud Driver"
"6447","Stud Driver"
"6449","V134 DIAMOND PIN"
"645","KOMET"
"646","BORE RANGE 97-117MM 94MM LOC"
"6464","160 MM DECA FACE MILL"
"6472","MCKNR 164C KIT"
"6473","MCLNR 165C KIT"
"6474","MCKNR 165C KIT"
"6475","A24-MCLNR-4 KIT"
"6480","EM2502-401-3660 EDP 56665"
"6482","SLEEVE"
"649","HOLDER"
"6491","MCLNR 204D KIT"
"6494","ER32 4"" COLLET CHUCK"
"6497","MCLNR 205D KIT"
"6499","A32MCLNR4 KIT"
"650","KOMET  - REPLACES V3033250"
"6501","A32MCLNR5 KIT"
"6502","A24-MCLNR-5 KIT"
"6503","A20-MCLNR-4 KIT"
"6504","A20UMCLNL4 KIT"
"6505","BORING BAR"
"6507","A20NSR3 KIT"
"6508","MCRNR 164C KIT"
"6510","MCRNL 164C KIT"
"6511","MDJNL 164C"
"6514","MDJNR 164C KIT"
"6519","Lock Pin"
"652","7"" LOVEJOY"
"6525","CPGW2152EC KB1345"
"6532","BENT NAIL CLAMP STUD"
"6549","INSERTS"
"655","TG75 152.4MM PROJECTION CAT 40"
"6551","32.25 MM SPADE BLADE"
"6554","6 STONE ASSEMBLY"
"6555","GUIDE REPLACEMENTS"
"6556","RETAINER SPRINGS"
"6557","RETAINER SPRING"
"6558","PROPEN SWITCH BOX"
"6559","PROPEN STOP DOG"
"6560","PROPEN STOP DOG"
"6561","PROPEN PIN STAMPER"
"6565","XOMX090308TR-M08 T150M"
"6571","THSNR 164D KIT"
"6572","Insert Screw"
"6598","M10 X 1.5 CUT TAP TICN COATED"
"66","ALLIED 1-9/32 GEN 2 BLADE"
"6606","A16TMCLNR4 KIT"
"6609","50TGSTC031"
"6619","SPHERICAL REST BUTTON"
"6620","SCREW REST PAD"
"6621","1.281 GUIDED DRILL BODY"
"6622","EDP #04018"
"6627","MSC Industrial Supply # 01057405"
"6628","EDP#61161 CK-3/4-45"
"6631","OP20 FUJI LATHE COLLET"
"6632","OP10 FUJI LATHE COLLET"
"6648","CAT40 ER32 5"" PROJECTION"
"6650","CAT40 ER40 4"" PROJECTION"
"6652","HSK63 ER32 100MM PROJECTION"
"6666","ER32 16MM SEALED COLLET"
"667","TG100 101.6MM PROJECTION CAT 40"
"6678","ER40 25 MM SEALED COLLET"
"6679","ER32 18MM SEALED COLLET"
"6682","1.25"" TO 1.00"""
"6691","INDEXABLE CHAMFER TOOL / HOLD HELICAL MILL COMBO"
"6693","INDEXABLE DRILL / C'BORE / CHAMFER TOOL 30.0 MM"
"6694","9.0 MM DRILL / 9.517 C'BORE / CHAMFER"
"6695","9.517 MM 4FL REAMER"
"6696","46MM GRAFLEX TO CAT 50 ADAPTOR, 2.56"" PROJECTION"
"6697","1.5"" SHELL MILL ARBOR TO 46 MM GRAFLEX"
"6698","SOLID TAP CHUCK"
"6699","TAP COLLET 1-1/4"""
"670","SPECIAL FINISH BORING BAR 2.062 DIA 3.225 LOC"
"6700","TAP SHANK ADAPTOR"
"6701","4"" DISC MILL x 3/8"" WIDTH"
"6712","0.250 FACE GROOVE BAR"
"6713","0.250"" WOC 0.010"" RADIUS GRADE M93"
"6714","CLAMP FOR MTC FACE GROOVE"
"6715","CLAMP SCREW"
"6716","OD GROOVE BAR"
"6720","1/8"" WOC FACE GROOVE"
"6722","CLAMP FOR .125 MTC FACE GROOVE"
"6723","CLAMP SCREW"
"6724","3 MM WOC .6MM CORNER RADII GRAD M93"
"6730","EDP#29420"
"674","TOOL BODY"
"6743","1/2"" END MILL HOLDER 6.62"" PROJECTION"
"6744","28 MM GRAFLEX ADAPTOR TO 3/4"" END MILL HOLDER"
"6745","KR32SVS2B085M"
"6751","CAT40 1"" SHELL MILL HOLDER 2.25"" PROJECTION"
"6754","CHAMFER TOOL"
"6763","EDP #09930"
"6766","1.950"" BORING TOOL W/ CHAMFER"
"6767","3/8-16 ROLL FORM TAP"
"6768","100TG0625"
"677","TOOL BODY"
"6770","COUNTERBORE TOOL, .437"" DIA, .227"" LENGTH OF CUT"
"6773","5/16-18   2B 3S/P PLUG TIN"
"6777","1/2""-13 - 2B TIN PLUG TAP"
"6779",".350"" 4FL HELICAL ENDMILL 30 DEG"
"678","HOLDER"
"6781","6.53MM DIA 1.19MM LOC SPECIAL HELICAL DRILL"
"6783","DIE GRINDERS"
"6784","35.50 MM DRILL / CHAMFER"
"6793","INSERT  - REPLACES KC935M"
"680","HOLDER"
"6801","1"" END MILL HOLDER 6"" PROJECTION"
"6805","DCMT21.51LF KC9315"
"6808","SPECIAL GROOVING INSERT"
"681","SPECIEAL ROUGH FINISH 2.238 DIA .5 LOC"
"6813","CT-54128LH"
"6822","ROUGH CLIP TOOL"
"6824","1"" ARBOR 7"" PROJECTION"
"6825","C03508-T15P"
"6829","CAT-40 ARBOR W/BUSHINGS KEY & NUT"
"6830","RH STRADDLE MILL CUTTER"
"6831","LH STRADDLE MILL CUTTER"
"6832","5/8"" SQUARE INSERT"
"6833","SLOT MILL INSERT"
"6836","3/4"" SQUARE INSERT"
"6838","1012T"
"6839","MS-2079"
"6845","50TG0094"
"6846","2.54 MM REAMER"
"6847","REPLACED 080843"
"6848","1/4"" SPOT DRILL"
"6849","CV40EM025250"
"6851","11.1 MM DRILL"
"6852","SPECIAL BRAZED TIP GROOVE BAR"
"6853","1/4"" COLLET"
"6856","4"" X 0.625"" DISC MILL"
"686","RITEN LIVE CENTER"
"6872","1/2"" BORING BAR"
"6873","LH THREAD HOLDER"
"6875","LSASR163"
"6876","#6 CENTER DRILL (REPLACES KHSS97606)"
"6877","SSY3T"
"6878","SSN2T"
"6880","SLEEVE 1.5"" TO .375"""
"6898","EXTERNAL 14 TPI THREADING INSERT GROUND"
"6900","INTERNAL 20 TPI THREADING INSERT"
"6902","CNMG433-M5 TP2500"
"6906","A20UMDUNR4"
"6908","A24UMDUNR4 KIT"
"6910","A20UMDUNR4 KIT"
"692","42005520"
"6922","1.3"" SERRATED S20 COLLET PADS"
"6923","1.39"" SERRATED S20 COLLET PADS"
"6924","1.26"" SMOOTH BORE S20 COLLET PADS"
"6926","S4424W"
"6928","TOP NOTCH PROFILING HEAD"
"6929","CLAMPING FINGER"
"6930","S532PKG"
"6931","SM414 K9"
"6935","DPGR431 KC5010"
"6936","DPGR432 KC5010"
"6938","H24NDXPR4W KIT"
"6944","CCGT3252LF KC5025"
"6946","CT-54176 REV 0"
"6948","CT-54177 5.683 DIA 6.062 DIA CHAMFER 7.187 LOC"
"6949","CT-54178 REV A"
"6951","CT-54202 REV 0"
"6952","8.64MM DIA 25.4MM LOC SPECIAL HELICAL DRILL"
"6953","CCMT 21.51LF KC9125"
"6958","#2 Gen 2 T-A C2 AM200 1-316 Spade Blade"
"6959","2ND OP 08 ACCORD COLLETS:CARBIDE COATING REQUIRED"
"6960","DRAW BOLTS"
"6966","M12 X 1.75  (10.3 X 30.5)"
"6968","40 MM ARBOR 50 MM PROJECTION"
"6981","DISC MILL HOLDER"
"6982","INSERT  EDP 69581  REPLACED TK2000"
"6986","MS1000 MINI SCRAPER DEBURRING TOOL"
"6995","EDP#03046168 (5.2MM DIA.)"
"6996","EDP#03046184  (6.6MM DIA)"
"6998","MEDIUM FINISHING INSERT- replaced KC9320"
"6999","SOLID CARBIDE UCDE 5/8X1 1/4 0.03R"
"70","EDP #31361"
"7000","12MM INSERT .094"" RADIUS: EDP# 05964"
"7002","1.5"" FACE MILL 5 TEETH"
"7010","INSERT SCREW"
"7012","3.5 MM END MILL"
"7014","1/2"" TO 4 MM SLEEVE"
"7015","DOUBLE QUICK CONNECT HANDLE"
"7017","PALLET RETENTION KNOBS"
"7018","PALLET RETENTION KNOBS"
"7021","EDP #24008"
"7028","PITTMAN SHAFT DEBURR TOOL"
"7033","HELLICAL MILL"
"7039","EDP#78317"
"7046","SNHX1204T  KC725M"
"7052","3"" DISC MILL 5/16 WOD 1"" ARBOR"
"7054","14 MM SQUARE SHOLDER INSERT"
"7056","GEN 2 CARBIDE INSERT"
"7057","GEN 2 CARBIDE INSERT REPLACED 1.219"
"7058","GEN 2 CARBIDE INSERTS"
"7060","ICS TOOL HOLDER"
"7061","SPEAR DRILL HOLDER"
"7062","ICS HOLDER"
"7063","CARBIDE SPEAR HOLDER"
"7066","1"" 3FL 14MM LOC END MILL"
"7067","ICS HOLDER"
"7069","CARBIDE SPEAR DRILL HOLDER"
"7070","TREPAN GROOVING TOOL"
"7079","COUNTERSINK"
"708","1"" 3 FLUTE SHANK W/SHOULDER   EDP 52535"
"7080","DRILL/COUNTERSINK EXTENSION"
"7081","REF BUSCHE PART # 8953M73  72.975/73.025"
"7082","REF BUSCHE PART # 8095/3496/6573/1954M81"
"7083","REF BUSCHE PART # 6886/6887M61/5215/5568/5569/5570"
"7084","REF BUSCHE PART# 4246/3232M68  67.975/68.025"
"7085","REF BUSCHE PART# 4246/5215/3232/1954L74"
"7086","REF BUSCHE PART # 5569/6887L54   53.925/54.075"
"7088","REF BUSCHE PART # 6886L52  51.925/52.075"
"7089","REF PRINT # 3496L87.5    87.425/87.575"
"709","1.2829 CT CORE DRILL"
"7090","REF BUSCHE PART# 8095/8953L80   79.925/90.075"
"7092","ENERPAC CYLNDER"
"7093","TURBO HOUSING MILL FIXTURE NOSE CONE"
"7098","SPRING LOCATOR"
"710","1.2339 CT CORE DRILL"
"7105","TURBO ETCHER STYLUS"
"7106","HSK-63 ARBOR W/BUSHINGS KEY & NUT"
"7107","7.2MM 5XD YG-1 DRILL"
"7108","EMUGE 5/16-18 FORM TAP"
"7111","TG50 2.75"" PROJECTION TOOL HOLDER"
"7112","TG75 2.75"" PROJECTION TOOL HOLDER"
"7119","EDP#55352"
"7123","BORING BAR"
"7125","70 MM BORING BAR"
"7126","DEBURRING BAR 67MM DIA 108MM LOC"
"7134","19.1MM EM HOLDER LPR 63.5MM CAT40ADB"
"7135","MINIMASTER WRENCH"
"7136","MINIMASTER SHANK"
"7140","DRILL BODY"
"7141","INSERTS"
"7142","ADJUSTABLE BUSHING  EDP 4504978"
"717","CV40BHC18M400"
"730","25MM EM holder"
"737","EDP #23793"
"744","19.05MM DIA 95.25MM PROJECTION CAT 50"
"748","COLLET"
"754","TG100 152.4MM PROJECTION CAT 40"
"755","SCHUNK"
"756","SCHUNK"
"757","TOOLHOLDER"
"759","A20-UNSR3"
"766","SCHUNK"
"767","KOMET"
"768","CV50ER32600"
"776","CV50BHCT14M600"
"778","CV40BSMC075600"
"779","CV50BHC12M300"
"781","CV50EM100400"
"783","HOLDER"
"784","HOLDER"
"791","HOLDER"
"804","CV50BSM075350"
"807","16.27mm drill"
"808",".810 Diameter"
"81","EDP #51548"
"810","CV50KR32161"
"816","CV50TG050800"
"818","R217.79-02.126-3-16A  EDP 04236"
"826","HOLDER"
"829","HOLDER"
"831","C-112600 REV B"
"857","INSERT"
"859","INSERT  EDP 49295"
"861","INSERT NEW EDP #28698"
"863","INSERTS   EDP 16731"
"864","INSERTS   EDP 15889"
"870","TOOLHOLDER"
"881","COFA TOOL"
"910","EDP  82000"
"914","CT-52318"
"922","AT-01021-01A"
"923","COLLET CHUCK"
"926","1/8-27 NPSF TAP"
"927","1/4-28 TAP"
"940","1/2-13 TAP"
"951","M6X1 TAP"
"952","M6X1 TAP"
"953","M6X1 TAP        REPLACES 40510200265"
"954","M6X1 TAP"
"957","M8X1.25 TAP"
"958","M8 X 1.25  6H 3 S/P PLUG TIN  HY-PRO"
"959","M8 X 1.25"
"963","M10X1.5 TAP"
"965","M10X1.5 TAP"
"966","M10X1.5 TAP"
"967","M12 EMUGE TAP"
"971","M12X1.75 TAP"
"972","M12X1.75 TAP"
"976","M12X1.75 TAP D6 4FL BOTTOM EXO-DC DIN OH TICN"
"979","M14X1.5 TAP"
"980","M14X2 TAP"
"982","M16x2 OSG-FS2057207"
"984","M16X2 TAP"
"985","M16X2 TAP"
"988","M20 X 2.5 TAP"
"995","REPLACES TK1000"
"999","EDP 69565 (REPLACED TK 1000)"
"10000","20MM OD - 6MM ID SLEEVE"
"10002","INSERT"
"10003","BORING BAR"
"10004","INSERT"
"10005","EDP 21346"
"10008","CHAMFER INSERT  EDP 59713"
"10021","FACE GROOVE BLADE"
"10022","GROOVE INSERT"
"10023","ROUND JAWS"
"10026","8"" PROJECTION END MILL HOLDER"
"10034","10.3MM DRILL AND BACK CHAMFER"
"10037","PROBE BREAK PROTECT"
"10042","32MM TENDO HYDRAULIC FLANGE"
"10043","32-20MM REDUCER SLEEVE"
"10045","SPRING LOCATOR"
"10046","DIAMOND PIN"
"10047","SAFETY STOP"
"10048","SPRING PLUNGER"
"10051","TG100 COLLET HOLDER"
"10052","20 TO 9MM HYD. SLEEVE"
"10053","CAT 50 20MM HYD CHUCK"
"10067","RED DIE SPRING"
"10068","25MM COLLET SEALED"
"10076","Mazak Corporation CAT 50 RETENTION STUD W/COOLANT"
"10077","STEPPED CONTACT PIN"
"10080","COLLET CHUCK"
"10082","OP10/20 FIXTURE DETAIL"
"10083","6K KNUCKLES"
"10090","6K YOKE CLAMP ARM BOLTS"
"10093","DET 41 FOR DANA SLIP YOKE FIXTURE"
"10094","DETAIL 109 FOR HARLEY 47250 FIXTURE"
"10095","DETAIL110 FOR HARLEY 47250"
"10096","OP 20 COLLET"
"10097","OP 20 COLLET"
"10098","OP 20 COLLET"
"10100","COLLET CENTER"
"10101","50CNTEZ"
"10102","8C150MXT3"
"10103","50C200KLC/SP"
"10104","6K KNUCKLE FIXTURE  -10F50KCS/IMP"
"10105","75C175KSS/IMP - CRADLE BOLTS FOR 6K YOKES"
"10106","6K KNUCKLE FIXTURE DETAIL"
"10107","6K KNUCKLE FIXTURE DETAIL"
"10108","SOLID CARBIDE HELICAL DRILL DOUBLE MARGIN"
"10110","INSERTS"
"10111","ID 3.23 O-RING"
"10112","ID 2.66 O-RING"
"10113","ID .43 O-RING"
"10114","ID .35"
"10115","SPHERICAL BLACK TIP A80 DURO"
"10116","SPHERICAL RED TIP A80 DURO"
"10117","SPIDER DETAILS"
"10118","4"" X 6"" SHEET FOR LEAK TESTER"
"10123","COLLET CHUCK"
"10127","SCHUNK TENDO FLANGE CAT 40 ADAPTOR"
"10128","SCREW FOR THREAD MILL"
"10129","WHIRLPOOL SUB JAWS"
"10130","INSERT"
"10135","CL-80-SPS-1"
"7143","EDP#7061002 INSERT SCREW"
"7145","4.724 GAGE LENGTH COLLET CHUCK"
"7156","EDP# 26719"
"7157","B-10 DEBURR BLADES  151-29212"
"7158","M10 x 1.25 D7"
